id	conversation_id	created_at	date	time	timezone	user_id	username	name	place	tweet	language	mentions	urls	photos	replies_count	retweets_count	likes_count	hashtags	cashtags	link	retweet	quote_url	video	thumbnail	near	geo	source	user_rt_id	user_rt	retweet_id	reply_to	retweet_date	translate	trans_src	trans_dest
1399110114947350529	1399110114947350529	2021-05-30 17:07:00 EDT	2021-05-30	17:07:00	-0400	1080891667308298240	repgolden	Congressman Jared Golden		Our duty to honor the men and women who have given their lives for our country is life-long, but Memorial Day is special.   I join my fellow Americans taking time tomorrow to remember our fallen friends and loved ones, express our gratitude, and share our love for our country.	en	[]	[]	[]	5	8	45	[]	[]	https://twitter.com/RepGolden/status/1399110114947350529	False		0								[]				
1398259714270666756	1398259714270666756	2021-05-28 08:47:48 EDT	2021-05-28	08:47:48	-0400	1080891667308298240	repgolden	Congressman Jared Golden		.@MaineDHHS and @MEPublicHealth are accepting applications for vaccine clinics all over Maine. Do you know a business, school, church, or other organization that should request one?   They can apply here:  https://t.co/jS6ufzV1d0	en	[{'screen_name': 'mainedhhs', 'name': 'maine dhhs', 'id': '2885836175'}, {'screen_name': 'mepublichealth', 'name': 'maine cdc', 'id': '61562609'}]	['https://forms.office.com/Pages/ResponsePage.aspx?id=q6g_QX0gYkubzeoajy-GTseHDczroMNHqsaKj3vr645UMThVSUo3VkZEMFJKM0syQVlZSFIwT0hIRC4u']	[]	5	8	28	[]	[]	https://twitter.com/RepGolden/status/1398259714270666756	False		0								[]				
1397941989056909312	1397941987559542790	2021-05-27 11:45:17 EDT	2021-05-27	11:45:17	-0400	1080891667308298240	repgolden	Congressman Jared Golden		Crucially, we can pay for it by lowering Rx drug costs.  We'd save $100s of billions by allowing Medicare to negotiate lower drug prices — which the VA already does for veterans — and we can use those savings to help over 100k Mainers get more affordable health care at 60.   2/	en	[]	[]	[]	1	7	24	[]	[]	https://twitter.com/RepGolden/status/1397941989056909312	False		0								[]				
1397941987559542790	1397941987559542790	2021-05-27 11:45:16 EDT	2021-05-27	11:45:16	-0400	1080891667308298240	repgolden	Congressman Jared Golden		I helped lead this effort because I represent one of the oldest &amp; most rural districts in the country.   Allowing Americans 60+ to get the Medicare benefits they've paid into for their entire working lives would be a huge win for my constituents.   1/   https://t.co/xLeAXeejFo	en	[]	['https://www.nytimes.com/2021/05/27/us/politics/medicare-expansion-democrats-biden.html']	[]	9	50	209	[]	[]	https://twitter.com/RepGolden/status/1397941987559542790	False		0								[]				
1397600611181502465	1397600611181502465	2021-05-26 13:08:46 EDT	2021-05-26	13:08:46	-0400	1080891667308298240	repgolden	Congressman Jared Golden		Proud to join with @TrevorProject to support LGBTQ mental health. #mentalhealthmonth  Do you know an LGBTQ Mainer who needs support or someone to talk to? Call the TrevorLifeline at 1-866-488-7386	en	[{'screen_name': 'trevorproject', 'name': 'the trevor project', 'id': '18916728'}]	[]	[]	2	10	64	['mentalhealthmonth']	[]	https://twitter.com/RepGolden/status/1397600611181502465	False	https://twitter.com/TrevorProject/status/1397270625169797121	0								[]				
1397315840706596878	1397315839913824258	2021-05-25 18:17:11 EDT	2021-05-25	18:17:11	-0400	1080891667308298240	repgolden	Congressman Jared Golden		.@RepGallagher and I are introducing a bipartisan bill to end this practice and permanently bar former members of Congress, cabinet officials, and high-ranking military officers from lobbying for foreign countries. 2/   https://t.co/WM74hATaXw	en	[{'screen_name': 'repgallagher', 'name': 'rep. mike gallagher', 'id': '815966620300480514'}]	['https://golden.house.gov/media/press-releases/golden-gallagher-lead-bill-prevent-american-government-officials-lobbying?fbclid=IwAR12WuHUcG0BYRJd2ikJR0quRL_Zy8-fbVkz_IlrIPjHfmRJViYkHvx_bao']	[]	4	3	28	[]	[]	https://twitter.com/RepGolden/status/1397315840706596878	False		0								[]				
1397315839913824258	1397315839913824258	2021-05-25 18:17:11 EDT	2021-05-25	18:17:11	-0400	1080891667308298240	repgolden	Congressman Jared Golden		Folks in Washington sweep it under the rug, but members of Congress, White House officials, and retired military brass can go to work for foreign governments to influence US policy after leaving office.   This practice is dangerous and wrong. But believe it or not, it’s legal. 1/	en	[]	[]	[]	2	6	30	[]	[]	https://twitter.com/RepGolden/status/1397315839913824258	False		0								[]				
1395460446057029635	1395460446057029635	2021-05-20 15:24:31 EDT	2021-05-20	15:24:31	-0400	1080891667308298240	repgolden	Congressman Jared Golden		MAINERS: Looking for a vaccine but not sure where to get started? Get information on:  - The closest available shot  - The type of vaccine available  - Who to call for an appointment  ... on the new  https://t.co/yVIJGPbLIP website. Get started here:  https://t.co/kz42b02yfS	en	[]	['http://vaccine.gov', 'https://www.vaccines.gov/search/']	[]	33	11	22	[]	[]	https://twitter.com/RepGolden/status/1395460446057029635	False		0								[]				
1393609117340557313	1393609117340557313	2021-05-15 12:48:00 EDT	2021-05-15	12:48:00	-0400	1080891667308298240	repgolden	Congressman Jared Golden		We are so pleased to welcome Rosemary Calderwood Golden into the world. Izzy and baby are happy and healthy, and we’re so thankful for this blessing. We look forward to showing her the beauty of Maine in the months and years ahead.  https://t.co/mu7KCa1Sxv	en	[]	[]	['https://pbs.twimg.com/media/E1cPlpPWQAEKCTd.jpg']	236	36	1339	[]	[]	https://twitter.com/RepGolden/status/1393609117340557313	False		1	https://pbs.twimg.com/media/E1cPlpPWQAEKCTd.jpg							[]				
1393598742054514702	1393598742054514702	2021-05-15 12:06:46 EDT	2021-05-15	12:06:46	-0400	1080891667308298240	repgolden	Congressman Jared Golden		 https://t.co/qJLEj2vwdu	und	[]	[]	['https://pbs.twimg.com/tweet_video_thumb/E1cOl3cWUAgBbjk.jpg']	122	36	1314	[]	[]	https://twitter.com/RepGolden/status/1393598742054514702	False		1	https://pbs.twimg.com/tweet_video_thumb/E1cOl3cWUAgBbjk.jpg							[]				
